Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,17.339088439941406,17.451702117919922,16.9602108001709,17.146896362304688,17.146896362304688,172103724
2008-01-03,17.148649215698242,17.188438415527344,16.929929733276367,17.150400161743164,17.150400161743164,129969900
2008-01-04,17.009258270263672,17.041040420532227,16.39139175415039,16.44144058227539,16.44144058227539,214177608
2008-01-07,16.364864349365234,16.57357406616211,15.949700355529785,16.24749755859375,16.24749755859375,255879864
2008-01-08,16.341341018676758,16.51551628112793,15.790790557861328,15.807807922363281,15.807807922363281,213350436
2008-01-09,15.766766548156738,16.349849700927734,15.578328132629395,16.346345901489258,16.346345901489258,269318412
2008-01-10,16.14139175415039,16.44644546508789,16.018768310546875,16.18443489074707,16.18443489074707,253114632
2008-01-11,16.08358383178711,16.253002166748047,15.768519401550293,15.972222328186035,15.972222328186035,198880920
2008-01-14,16.2947940826416,16.45145034790039,16.147396087646484,16.361862182617188,16.361862182617188,177722100
2008-01-15,16.163663864135742,16.24249267578125,15.900400161743164,15.957206726074219,15.957206726074219,222505272
2008-01-16,15.739990234375,16.015766143798828,15.063312530517578,15.414163589477539,15.414163589477539,421977600
2008-01-17,15.53453540802002,15.659158706665039,14.965214729309082,15.034785270690918,15.034785270690918,328343328
2008-01-18,15.224224090576172,15.2650146484375,14.976225852966309,15.021270751953125,15.021270751953125,341242416
2008-01-22,14.064814567565918,14.952451705932617,14.04404354095459,14.623373031616211,14.623373031616211,379679940
2008-01-23,14.031782150268555,14.214214324951172,12.987988471984863,13.729228973388672,13.729228973388672,677949372
2008-01-24,13.983983993530273,14.506756782531738,13.867366790771484,14.376626968383789,14.376626968383789,375659964
2008-01-25,14.810059547424316,14.88988971710205,14.168668746948242,14.174174308776855,14.174174308776855,278361360
2008-01-28,14.288538932800293,14.320320129394531,13.728729248046875,13.913413047790527,13.913413047790527,232435332
2008-01-29,14.025775909423828,14.047296524047852,13.530280113220215,13.776777267456055,13.776777267456055,251068680
